date,epochs,best_epoch,hidden_dim,lstm_layer,batch_size,sequence_length,learning_rate,dropout,model_name,midi_method,train_loss,validation_loss,train_perplexities,validation_perplexities
2024-07-29 17:25:00,15,15,40,2,16,3,0.0001,0.1,merge,modified,"[6.041889533599882, 5.687761015517257, 5.443955919016963, 5.2650018719376925, 5.148116302854042, 5.060676403368596, 4.991736104406641, 4.936896267368842, 4.889201755457897, 4.847823970493265, 4.811862355440756, 4.77823992728888, 4.747642592841566, 4.720174196970503, 4.696281675635572]","[6.015876402911398, 5.820453195200757, 5.6179608584660565, 5.498952687694336, 5.423767761732318, 5.374632754906785, 5.33490698833756, 5.306088093170256, 5.286903119329269, 5.268419682071899, 5.253818848209736, 5.238027952850975, 5.22842821110727, 5.218203667658436, 5.212142870712603]","[420.6871869366579, 295.2318605270929, 231.35559958542078, 193.44667090719756, 172.10698733929075, 157.69714713812255, 147.19174203371247, 139.33711259395236, 132.8474869338077, 127.46272520131629, 122.96040038428451, 118.89490210439637, 115.31212622744313, 112.1877937395589, 109.53911232210763]","[409.88490587483267, 337.1248023574465, 275.3273789325508, 244.43579754239852, 226.73178652466015, 215.86058401208902, 207.4534523200748, 201.5601994150687, 197.73012963114448, 194.10896605427294, 191.29540345358674, 188.29840269325038, 186.4994352832191, 184.60227900992354, 183.4868257634386]"
2024-07-29 17:54:08,15,9,40,2,16,3,0.001,0.1,merge,modified,"[5.327259324167086, 4.78497374770434, 4.615910100622918, 4.519641768374172, 4.456091457510673, 4.409436045058794, 4.374919596224724, 4.345914347639251, 4.32222878080746, 4.3024963062493295, 4.2868305016869686, 4.27298578305986, 4.262087044882335, 4.251681968843857, 4.24210000023196]","[5.300272253765875, 5.209513708621314, 5.196642048871255, 5.1832875094034545, 5.194207968849014, 5.173957406163417, 5.184403516919479, 5.186071246005153, 5.173313161039917, 5.1908333047392405, 5.177596261053521, 5.182458380353834, 5.17555943902979, 5.1911143122994154, 5.1885199185757065]","[205.8729691909296, 119.69822068953204, 101.07977945408426, 91.80270545450708, 86.15012875443585, 82.22308031399213, 79.43345254602715, 77.1625586372904, 75.35639415091528, 73.88400077816522, 72.73556751425436, 71.73550282892674, 70.95792139072118, 70.22342668643998, 69.55376149525085]","[200.39135985111832, 183.00504277719892, 180.664559400972, 178.2679061312594, 180.22534216800733, 176.6123832718023, 178.4669655095888, 178.76484838372545, 176.49863824890195, 179.6181672560402, 177.25622081157871, 178.12016029031938, 176.89554887415068, 179.66864841144488, 179.20312133903357]"
2024-07-29 18:31:37,15,15,40,2,16,5,0.0001,0.1,merge,modified,"[6.037103842896077, 5.671113590018871, 5.380761534709525, 5.187258858952716, 5.056482626272237, 4.958657282499282, 4.880684968923875, 4.815695297339168, 4.760041914370606, 4.711865305097649, 4.66949547551552, 4.631661049944806, 4.5979240775434524, 4.56707750825073, 4.538818638291115]","[6.037995696677057, 5.771744146663854, 5.56481726206141, 5.452483871117158, 5.376940400677604, 5.322239028128083, 5.285997162888769, 5.25627961049088, 5.235249637745105, 5.217492411855538, 5.202854426390471, 5.191110087415835, 5.180163935461483, 5.17210383634551, 5.1642862148138695]","[418.67871796586775, 290.35769385454205, 217.18760836582007, 178.97727794931834, 157.03718528801014, 142.40246119471735, 131.72085768646988, 123.4326048427762, 116.7508193335467, 111.2594993812491, 106.64392438635747, 102.68448659196855, 99.27800813030602, 96.26237229684305, 93.58018274816638]","[419.0522847222023, 321.09728529348445, 261.07749058795997, 233.33702580231747, 216.35928897175677, 204.8420159496899, 197.55107586642663, 191.7667156227358, 187.77597646502954, 184.4710262504262, 181.7904093298232, 179.66788933392576, 177.71194189471083, 176.28532309677618, 174.91256400609927]"
2024-07-29 19:26:38,15,10,40,2,16,5,0.001,0.1,merge,modified,"[5.2381730173994585, 4.645086358482274, 4.4594627607749455, 4.356107834539171, 4.286839640409012, 4.2365376167461966, 4.1982274629572425, 4.169574406718586, 4.143976393485667, 4.126449458575505, 4.109194384828615, 4.094074058924141, 4.082244739234385, 4.069620271829073, 4.059936350080948]","[5.267890221621759, 5.192721075053109, 5.174729670942134, 5.177092484964829, 5.1735375226051685, 5.176421875035743, 5.179438754078476, 5.176012568620036, 5.179822294025649, 5.171767048981974, 5.181381664852877, 5.1748811140580315, 5.172314438746776, 5.178373178387825, 5.178746258786021]","[188.32572009736285, 104.07235292779728, 86.44105709300199, 77.95313669591667, 72.73623222742582, 69.16795080918293, 66.56823174751688, 64.68791550589438, 63.05304734790244, 61.957549098418255, 60.897637741683454, 59.98377199708553, 59.27838513085173, 58.53473108482418, 57.97062113618553]","[194.00622023605334, 179.9575653520507, 176.7488274736328, 177.16694585514418, 176.53824220228066, 177.04817577079785, 177.58311521990967, 176.975723645137, 177.6512385017047, 176.2259624241036, 177.92847876445512, 176.77559689376767, 176.32245311882693, 177.39398775197276, 177.46018231874075]"
2024-07-29 19:57:19,15,15,40,2,64,3,0.0001,0.1,merge,modified,"[6.48775268797093, 5.893358516055206, 5.835898386395496, 5.764034412178307, 5.6481331224026885, 5.530904380174784, 5.432439561671637, 5.34627776739988, 5.27160990457471, 5.209271432165318, 5.155667185185346, 5.108714668447756, 5.066497987130015, 5.02910961474862, 4.994250372700069]","[6.164173213211265, 6.126716985895827, 6.047153389131701, 5.970105393512829, 5.8592443417858435, 5.763586601695499, 5.684474229812622, 5.616903392849742, 5.563637616666588, 5.520448018570204, 5.48338579567703, 5.454168888362679, 5.42650610369605, 5.404609478808738, 5.385293830085445]","[657.0451174015889, 362.62111036500625, 342.372178434972, 318.63122901459786, 283.76122355797247, 252.37204812362054, 228.70650904165686, 209.82582197656728, 194.72920567092606, 182.96071033457588, 173.41146573252385, 165.45755033083316, 158.61787172643747, 152.796904000241, 147.5622871935341]","[475.4079194147325, 457.9302985203472, 422.9074619896947, 391.5469350822792, 350.45921654949797, 318.4885745535605, 294.26308961169025, 275.03638358200516, 260.7696933100103, 249.7469033793224, 240.66015562693383, 233.73053415588709, 227.35350654272202, 222.42934014972732, 218.17420083430815]"
2024-07-29 20:29:21,15,12,40,2,64,3,0.001,0.1,merge,modified,"[5.780104624985851, 5.1670158575211085, 4.899901931700499, 4.741635711695438, 4.636446386675372, 4.561297142286365, 4.500779516222485, 4.454304423419927, 4.415530355080314, 4.3819098645030055, 4.35378184794981, 4.330473025805974, 4.307624109911679, 4.288423084096366, 4.271972530761292]","[5.641580159599717, 5.387848344203588, 5.290536820083051, 5.253260047854604, 5.232021120754448, 5.216430573850064, 5.21086860589079, 5.203395872502713, 5.204629916597057, 5.204357170575374, 5.2050977558703035, 5.201563813396402, 5.2059012820591795, 5.205454674121496, 5.205987066835971]","[323.79306549001797, 175.3906650364796, 134.27661076033897, 114.62153621307965, 103.1770440239613, 95.70754565174767, 90.08732847103413, 85.99631301534838, 82.72570327076834, 79.9906589317196, 77.77202945352424, 75.98021867428731, 74.26383645704254, 72.8514971888925, 71.6628534780729]","[281.90782606974443, 218.73224236958401, 198.4499287274844, 191.18853737538376, 187.170716106985, 184.27525186258214, 183.2531638612904, 181.8888656921998, 182.1134631257997, 182.06379917636752, 182.19868288905866, 181.5559396027293, 182.34514313678082, 182.26372453090906, 182.3607862451445]"
2024-07-29 21:03:24,15,15,40,2,64,5,0.0001,0.1,merge,modified,"[6.4310757120450335, 5.89801594645086, 5.87172526442242, 5.80583932724866, 5.660359982488934, 5.504740902069041, 5.377391603057232, 5.284206412055275, 5.210281179007456, 5.146548423903559, 5.0881074574659975, 5.036280055238743, 4.989746375316723, 4.94776236127924, 4.909235271741244]","[6.152633679967348, 6.158795236730251, 6.124432325363159, 6.000111265247371, 5.853413885142527, 5.7234165019729515, 5.63328505859894, 5.572728828508026, 5.523828424564024, 5.480867817288353, 5.443707087412983, 5.413840621507087, 5.388178849706844, 5.366225599431667, 5.345374807208573]","[620.8414355464306, 364.3139319859542, 354.8606809510837, 332.2339293416499, 287.2520296467504, 245.85474696952465, 216.45693282470822, 197.19762767593488, 183.14554763780836, 171.83735584661622, 162.08282296637205, 153.89646255587797, 146.8991615173023, 140.8594185257641, 135.53572676675395]","[469.9534653775693, 472.8580495211333, 456.88527745435323, 403.4736835945476, 348.4218245167386, 305.94841275522106, 279.5790442730481, 263.1512148895773, 250.5925778646898, 240.05494083469927, 231.29803816233394, 224.49212340409133, 218.80454652722952, 214.0534177295395, 209.63644312586314]"
2024-07-29 21:36:58,15,7,40,2,64,5,0.001,0.1,merge,modified,"[5.813934944294117, 5.126529893489799, 4.81183239988205, 4.629586500551564, 4.506634245215843, 4.420817019261094, 4.355472625004322, 4.302649768113287, 4.2599491959669775, 4.223628859829019, 4.193310062090556, 4.1660252700149005, 4.142236923328554, 4.12134810730263, 4.103221428815765]","[5.648234792307121, 5.359456994906575, 5.261921608529123, 5.21701810960056, 5.206327996286405, 5.1968034838332615, 5.183862882406533, 5.194297108520456, 5.191099687498443, 5.18611559494823, 5.196403513149339, 5.199038595569377, 5.201916144007728, 5.2117362160260985, 5.20208921805531]","[334.93448458434005, 168.431627088736, 122.95671709196016, 102.47168336433833, 90.61631238265474, 83.1642043657974, 77.90363584358715, 73.89534002469, 70.80638611291934, 68.2808167636068, 66.24169258700209, 64.45873618562511, 62.94346379002115, 61.64228669229236, 60.53498296884705]","[283.7900750010901, 212.60946707590753, 192.8517209769507, 184.38355197296093, 182.42296900714499, 180.69372733155333, 178.37050618558283, 180.24140811183963, 179.66602081243505, 178.7727765916131, 180.6214695893046, 181.09804968665142, 181.6199185881351, 183.4122251552015, 181.65135500290188]"
