date,epochs,best_epoch,hidden_dim,lstm_layer,batch_size,sequence_length,learning_rate,dropout,model_name,midi_method,train_loss,validation_loss,train_perplexities,validation_perplexities
2024-07-29 12:03:17,15,15,40,2,16,3,0.0001,0.1,naive,modified,"[6.043592095723918, 5.685907729642846, 5.464538849466621, 5.289109219301704, 5.179401596378921, 5.094303329229155, 5.024725879290232, 4.965366372296643, 4.913094778124704, 4.867444637627107, 4.828040393798248, 4.792885151669931, 4.761813400805395, 4.732577685603131, 4.706277120821054]","[6.011694802447221, 5.828452540129776, 5.6310140451198905, 5.527300209361688, 5.453669512937517, 5.401247045110325, 5.358917570557892, 5.326017210931342, 5.299458825850446, 5.279014906302321, 5.260346717842541, 5.247079272560661, 5.237491654058802, 5.228000921242935, 5.217603869042824]","[421.40404308009903, 294.685218189025, 236.16692149158104, 198.16682358281938, 177.5765167624607, 163.0901848724588, 152.12854881073713, 143.36106417526813, 136.05983852514768, 129.98832485659491, 124.96583673135984, 120.64895754010973, 116.95782512608844, 113.5879794063316, 110.6394947596715]","[408.17450955149786, 339.8323949811794, 278.94483691435147, 251.4640933486465, 233.61384400954043, 221.68269222143374, 212.49481127945077, 205.61741040035113, 200.22842220300467, 196.17652787350204, 192.54823963538857, 190.01048836551163, 188.19744556133165, 186.4197629876127, 184.4915880180049]"
2024-07-29 12:50:50,15,8,40,2,16,3,0.001,0.1,naive,modified,"[5.329395538663186, 4.812184810463999, 4.645734764585726, 4.547002892405493, 4.480326519612484, 4.432292919394165, 4.393445315867363, 4.3627829018693705, 4.339011562084872, 4.318580997653031, 4.299614808830529, 4.284176441189836, 4.2719870390600985, 4.260836782164398, 4.250312986356957]","[5.315184448576216, 5.221044278588593, 5.20679833743778, 5.188856668076943, 5.187734635953371, 5.193724290570229, 5.190085009875031, 5.180824451841881, 5.196345003324918, 5.190704960508395, 5.199862309317097, 5.199449463947574, 5.196386526482158, 5.200433603599794, 5.20425419416121]","[206.31322808836626, 123.0000559762773, 104.13985595895997, 94.34920940606692, 88.26348773086553, 84.12408568645623, 80.91872985467627, 78.47521966292513, 76.63175615769205, 75.08201111491368, 73.67141065667055, 72.54277886731185, 71.66389319170672, 70.86926078313938, 70.1273578184387]","[203.40202688332008, 185.12740775152426, 182.5087902174663, 179.26347806274237, 179.0624514820037, 180.13819216269536, 179.48381017958837, 177.8293623181121, 180.61090176799598, 179.59511577981144, 181.24728409464234, 181.1724724365512, 180.61840145857363, 181.35085921491992, 182.04505186446136]"
2024-07-29 13:57:45,15,15,40,2,16,5,0.0001,0.1,naive,modified,"[6.031243001604251, 5.651450756950595, 5.421493198213716, 5.2395700457421786, 5.100677326337284, 4.996380965124053, 4.916001412146369, 4.84830837316499, 4.789340703519011, 4.736776906699789, 4.689478288899219, 4.648049979078421, 4.6109077464753865, 4.576947009028999, 4.54598615348176]","[6.029231904109454, 5.795917176916002, 5.61887828942255, 5.496274830332403, 5.410127152373072, 5.351332098296392, 5.311523015088889, 5.281729115538134, 5.254133947054004, 5.232927817502257, 5.21386478727071, 5.200937697387838, 5.188759712384954, 5.1774132341095696, 5.171868884380672]","[416.2320851143982, 284.70420296220533, 226.2166567443178, 188.58900032815419, 164.1330412903482, 147.87701744658293, 136.45588999028112, 127.52448344267005, 120.2220805342619, 114.06596332348025, 108.79640470654304, 104.38124138443783, 100.57540518123736, 97.21713763370245, 94.2533296430436]","[415.3958429748559, 328.9537544540907, 275.5800886973094, 243.7821089754294, 223.6600247754971, 210.88903576519297, 202.65864564167174, 196.70971528106944, 191.3556899117265, 187.34050014625083, 183.8030469420239, 181.44230010196188, 179.246098290726, 177.22378111594688, 176.2439093790501]"
2024-07-29 15:03:42,15,7,40,2,16,5,0.001,0.1,naive,modified,"[5.233677638778936, 4.657545367408316, 4.472437149046647, 4.3664108480159625, 4.294387684724527, 4.242728554231446, 4.203176197567078, 4.170401362563855, 4.146095409239751, 4.123210431976936, 4.104431732331696, 4.08879059431453, 4.075913007548924, 4.064780953632508, 4.054904757939096]","[5.270080944545428, 5.192213811500718, 5.173942761689272, 5.175546359366006, 5.176403770861065, 5.176751866251281, 5.170899518913061, 5.18363580833708, 5.180802458392701, 5.18300550536362, 5.188871676714701, 5.181142088501782, 5.191523301337403, 5.1875174821337, 5.189663950385593]","[187.4810247168166, 105.37710236669068, 87.56988401470768, 78.76044060397159, 73.28732575435312, 69.59749353275173, 66.89847673330284, 64.74143168044719, 63.18679940989084, 61.75719160569784, 60.608293026332305, 59.66768561149945, 58.90423605722267, 58.25214720369915, 57.679669203979934]","[194.4316999940226, 179.8663025872646, 176.60979689525982, 176.89323515497787, 177.04497048871193, 177.1066097543496, 176.0731473981768, 178.33000746715123, 177.825451280078, 178.2176409493828, 179.2661685835384, 177.88585641461432, 179.7421459479341, 179.02357160831406, 179.40825272631932]"
2024-07-29 15:20:31,15,15,40,2,64,3,0.0001,0.1,naive,modified,"[6.483335452534283, 5.895056905355741, 5.842964530389843, 5.768060323586034, 5.672582414437297, 5.571438141889796, 5.478130685844549, 5.386990871915849, 5.311012088056392, 5.249549175584596, 5.196581131439145, 5.150866819464642, 5.108680133636181, 5.0698356078221245, 5.033631144957399]","[6.172070558006699, 6.128447207244667, 6.052926387335803, 5.984344546859329, 5.8895587905033215, 5.808415002114064, 5.725651191698538, 5.653028923917461, 5.598855770117527, 5.555324443288751, 5.520863221303837, 5.491099854578843, 5.462097422496693, 5.437331989810273, 5.414859442292033]","[654.1491951195501, 363.23750547025685, 344.7999971037853, 319.91659576457903, 290.784491694165, 262.81178823179084, 239.39877732045224, 218.54476592273284, 202.55512830839817, 190.48037589474356, 180.65355411515026, 172.5810220881402, 165.45183638417444, 159.14816247967164, 153.48934408215976]","[479.1772439099902, 458.7233051397861, 425.3559668150323, 397.16211476107355, 361.24586410012637, 333.09075890638536, 306.6328770275611, 285.1538684609377, 270.11715441177716, 258.6108554673652, 249.8506205066492, 242.52380113676926, 235.5910404718212, 229.8281808139053, 224.7209571959898]"
2024-07-29 15:37:21,15,12,40,2,64,3,0.001,0.1,naive,modified,"[5.746760966985122, 5.1283288257177855, 4.882317143937816, 4.734026445194232, 4.634608075371554, 4.560192997638996, 4.502300827000851, 4.456013299051336, 4.417089843331372, 4.38264812932764, 4.353514058334771, 4.325617971527936, 4.3017720430591035, 4.279886793930793, 4.260789702269545]","[5.599517900396037, 5.380602218814798, 5.297030968440546, 5.260619017723444, 5.231222350855131, 5.224891028694205, 5.225613092248504, 5.220250753132072, 5.221577790137884, 5.2206265966634495, 5.223650863847217, 5.219756389791901, 5.224113098672919, 5.2239379455914365, 5.222413079964148]","[313.1746327257582, 168.73489687002404, 131.93602472656696, 113.7526603436699, 102.98754672851311, 95.60192899626601, 90.2244835961639, 86.14339565622848, 82.85481367999631, 80.04973502572608, 77.75120570001305, 75.6122246269523, 73.83050868956863, 72.23226241395972, 70.86592434433355]","[270.2960663834385, 217.15300968380276, 199.74288578957518, 192.6006776372162, 187.02126946760978, 185.84091809499216, 185.97515550698515, 184.98056271111807, 185.22620171316638, 185.05009952570597, 185.61058757466694, 184.8891377027177, 185.6964030841935, 185.66388063525986, 185.38098391001262]"
2024-07-29 15:57:50,15,15,40,2,64,5,0.0001,0.1,naive,modified,"[6.416967349823075, 5.898733881186154, 5.871052826093102, 5.782179083085622, 5.64703530273855, 5.502709464593367, 5.386995194335578, 5.300724747004332, 5.230978824072816, 5.169902274102876, 5.1160428293224935, 5.066115684982903, 5.01875014758672, 4.9746574014927, 4.933698357556404]","[6.156657932566947, 6.161454517014173, 6.117106385782463, 5.98217393427479, 5.854899206940009, 5.740720182859978, 5.66224293806115, 5.6014626723568455, 5.5551111479194795, 5.515447804716979, 5.480051152560176, 5.4454447079677974, 5.414250737955781, 5.387973067711811, 5.363095412448961]","[612.1438781040354, 364.5755795239681, 354.6221392389282, 324.46545782110235, 283.44987583992395, 245.35581536871425, 218.54571056698225, 200.48205610466945, 186.97573032485724, 175.8976468887516, 166.67450344564145, 158.55724336342124, 151.22218022350302, 144.699242910637, 138.89223678983257]","[471.8484872983235, 474.11718506445465, 453.55039400881174, 396.30096462644434, 348.93972757854937, 311.2885149267549, 287.7934220055234, 270.8222420744838, 258.55570085177175, 248.50123235935925, 239.85897646118207, 231.70029577206626, 224.58421019836535, 218.75952512357878, 213.38443806969588]"
2024-07-29 16:18:18,15,6,40,2,64,5,0.001,0.1,naive,modified,"[5.764090148286788, 5.071385914027089, 4.779102433811534, 4.609269957951825, 4.491363759594734, 4.403894448420817, 4.33557801395153, 4.280184589050434, 4.233673003486511, 4.196067684828633, 4.162598502154302, 4.134076244802989, 4.109123173486504, 4.086796875152523, 4.067245644050014]","[5.589571141872276, 5.337521018625116, 5.257924645125461, 5.217476534194687, 5.205552127085576, 5.1929230308857095, 5.1939439643807965, 5.193673782608136, 5.198385356234855, 5.19667679679637, 5.2024324653910945, 5.201462676735963, 5.209966951487016, 5.208961709826982, 5.217644445750178]","[318.64898877426884, 159.39508221461625, 118.99749396968829, 100.41081875255085, 89.24306901908466, 81.7686933460316, 76.36908853340212, 72.25377603235351, 68.97009490577247, 66.42461428328446, 64.23822908922462, 62.431892639670686, 60.893301293572456, 59.548843511594725, 58.39589779028778]","[267.6208237344056, 207.99645132642223, 192.08243812772366, 184.46809730528705, 182.28148753662353, 179.99391250213003, 180.17776815254163, 180.12909397948144, 180.97978794800608, 180.67083722862313, 181.71371704873908, 181.53757856981738, 183.0880073073456, 182.90405209016225, 184.49907423106313]"
